Category,N2,mlh-1,msh-2,msh-6,pms-2,polh-1,polk-1,rev-3,xpa-1,xpc-1
D.1.rep,0.400000,0.142857,0.100000,0.178571,0.250000,0.200000,0.307692,0.187500,0.109091,0.263158
D.1.nonrep,0.100000,0.047619,0.050000,0.071429,0.000000,0.000000,0.000000,0.000000,0.000000,0.052632
D.2.5.rep,0.100000,0.047619,0.050000,0.035714,0.000000,0.000000,0.000000,0.062500,0.018182,0.000000
D.2.5.nonrep,0.000000,0.190476,0.150000,0.035714,0.125000,0.000000,0.000000,0.125000,0.036364,0.105263
D.5.50,0.100000,0.333333,0.200000,0.357143,0.500000,0.600000,0.230769,0.437500,0.763636,0.368421
D.50.400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DI.small,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DI.large,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
I.1.rep,0.100000,0.238095,0.250000,0.107143,0.125000,0.200000,0.384615,0.125000,0.018182,0.105263
I.1.nonrep,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.000000,0.000000
I.2.5.rep,0.000000,0.000000,0.000000,0.107143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
I.2.5.nonrep,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018182,0.000000
I.5.50,0.100000,0.000000,0.100000,0.107143,0.000000,0.000000,0.076923,0.000000,0.036364,0.105263
I.50.400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
