Type,N2,mlh-1,msh-2,msh-6,pms-2,polh-1,polk-1,rev-3,xpa-1,xpc-1
DEL.C.1.1,1,0,0,0,0,0,0,0,0,1
DEL.C.1.2,0,0,0,0,0,0,0,0,0,0
DEL.C.1.3,0,0,0,0,1,0,1,0,0,0
DEL.C.1.4,0,0,0,0,0,0,0,0,0,0
DEL.C.1.5,0,0,0,0,0,0,0,0,0,0
DEL.C.1.6+,0,0,0,0,0,0,0,0,0,0
DEL.T.1.1,0,1,1,1,0,0,0,0,0,0
DEL.T.1.2,0,0,0,1,0,0,0,0,0,0
DEL.T.1.3,0,0,0,1,1,0,1,1,2,0
DEL.T.1.4,0,0,0,3,0,1,1,0,0,0
DEL.T.1.5,1,0,1,0,1,0,0,0,0,0
DEL.T.1.6+,3,3,1,1,1,0,1,2,4,5
INS.C.1.0,0,0,0,0,0,0,0,0,0,0
INS.C.1.1,0,0,0,0,0,0,0,0,0,0
INS.C.1.2,0,0,0,0,0,0,0,0,0,0
INS.C.1.3,0,0,0,0,0,0,0,0,0,0
INS.C.1.4,0,0,0,0,0,0,0,0,0,0
INS.C.1.5+,0,0,1,0,0,0,0,0,0,1
INS.T.1.0,1,0,0,0,0,0,0,1,0,0
INS.T.1.1,0,0,0,0,0,0,0,0,0,0
INS.T.1.2,0,0,1,0,0,0,0,0,1,0
INS.T.1.3,0,0,1,0,0,0,2,0,0,0
INS.T.1.4,0,1,1,0,0,0,0,0,0,0
INS.T.1.5+,1,4,1,3,2,1,3,2,0,1
DEL.repeats.2.1,0,0,1,0,2,0,0,1,0,1
DEL.repeats.2.2,0,1,1,0,0,0,0,0,1,1
DEL.repeats.2.3,0,0,0,0,0,0,0,0,0,0
DEL.repeats.2.4,0,0,0,0,0,0,0,0,0,0
DEL.repeats.2.5,0,0,0,1,0,0,0,0,0,0
DEL.repeats.2.6+,1,1,0,0,0,0,0,1,1,0
DEL.repeats.3.1,0,3,1,0,0,0,0,0,0,0
DEL.repeats.3.2,0,0,0,0,0,0,0,1,1,0
DEL.repeats.3.3,0,0,0,0,0,0,0,0,0,0
DEL.repeats.3.4,0,0,0,0,0,0,0,0,0,0
DEL.repeats.3.5,0,0,0,0,0,0,0,0,0,0
DEL.repeats.3.6+,0,0,1,0,0,0,0,0,0,0
DEL.repeats.4.1,0,0,0,0,0,0,0,0,0,0
DEL.repeats.4.2,0,0,0,0,0,0,0,0,0,0
DEL.repeats.4.3,0,0,0,0,0,0,0,0,0,0
DEL.repeats.4.4,0,0,0,0,0,0,0,0,0,0
DEL.repeats.4.5,0,0,0,0,0,0,0,0,0,0
DEL.repeats.4.6+,0,0,0,0,0,0,0,0,0,0
DEL.repeats.5+.1,1,7,4,8,6,3,3,6,32,7
DEL.repeats.5+.2,0,0,0,1,1,0,0,0,5,0
DEL.repeats.5+.3,0,0,0,0,0,0,0,0,0,0
DEL.repeats.5+.4,0,0,0,0,0,0,0,0,0,0
DEL.repeats.5+.5,0,0,0,0,0,0,0,0,0,0
DEL.repeats.5+.6+,0,0,0,0,0,0,0,0,0,0
INS.repeats.2.0,0,0,0,0,0,0,0,0,0,0
INS.repeats.2.1,0,0,2,0,0,0,0,0,0,0
INS.repeats.2.2,0,0,0,0,0,0,0,0,0,0
INS.repeats.2.3,0,0,0,0,0,0,0,0,0,0
INS.repeats.2.4,0,0,0,1,0,0,0,0,0,0
INS.repeats.2.5+,0,0,0,2,0,0,0,0,0,0
INS.repeats.3.0,0,0,0,0,0,0,0,0,0,0
INS.repeats.3.1,0,0,0,0,0,0,0,0,1,0
INS.repeats.3.2,0,0,0,0,0,0,0,0,0,0
INS.repeats.3.3,0,0,0,0,0,0,0,0,0,0
INS.repeats.3.4,0,0,0,0,0,0,0,0,0,0
INS.repeats.3.5+,0,0,0,0,0,0,0,0,0,0
INS.repeats.4.0,0,0,0,0,0,0,0,0,0,0
INS.repeats.4.1,0,0,0,0,0,0,0,0,0,0
INS.repeats.4.2,0,0,0,0,0,0,0,0,0,0
INS.repeats.4.3,0,0,0,0,0,0,0,0,0,0
INS.repeats.4.4,0,0,0,0,0,0,0,0,0,0
INS.repeats.4.5+,0,0,0,0,0,0,0,0,0,0
INS.repeats.5+.0,0,0,1,1,0,0,0,0,2,2
INS.repeats.5+.1,0,0,1,2,0,0,0,0,0,0
INS.repeats.5+.2,1,0,0,0,0,0,1,0,0,0
INS.repeats.5+.3,0,0,0,0,0,0,0,0,0,0
INS.repeats.5+.4,0,0,0,0,0,0,0,0,0,0
INS.repeats.5+.5+,0,0,0,0,0,0,0,0,0,0
DEL.MH.2.1,0,0,0,0,0,0,0,0,0,0
DEL.MH.3.1,0,0,0,0,0,0,0,0,0,0
DEL.MH.3.2,0,0,0,0,0,0,0,0,0,0
DEL.MH.4.1,0,0,0,1,0,0,0,0,0,0
DEL.MH.4.2,0,0,0,0,0,0,0,0,0,0
DEL.MH.4.3,0,0,0,0,0,0,0,0,0,0
DEL.MH.5+.1,0,0,0,1,1,0,0,1,5,0
DEL.MH.5+.2,0,0,0,0,0,0,0,0,0,0
DEL.MH.5+.3,0,0,0,0,0,0,0,0,0,0
DEL.MH.5+.4,0,0,0,0,0,0,0,0,0,0
DEL.MH.5+.5+,0,0,0,0,0,0,0,0,0,0
